US,291,24.9524,7.4303,26.2554
AU,8,188.4958,26.6253,29.2500
CA,156,15.4109,8.4104,20.7607
RU,48,156.0786,11.2948,29.0486
FR,9,97.9499,5.8632,27.7778
CN,23,230.8549,13.4141,29.9565
NL,15,110.0570,11.2069,26.0889
DK,1,117.7667,10.2459,30.0000
DE,20,120.6943,10.1085,28.0667
GB,8,83.7949,15.8664,28.1667
IE,4,114.2833,9.6115,30.0000
JP,3,187.0000,11.4423,27.7778
SK,1,127.9333,6.6929,30.0000
SG,4,237.8833,7.0171,30.0000
LV,1,127.4667,6.8300,30.0000
BR,4,160.1517,11.6611,29.0000
NO,1,140.4333,17.5930,30.0000
SI,1,117.0333,2.5230,30.0000
CO,1,147.3333,9.8871,30.0000
FI,1,130.1667,4.4653,30.0000
KR,1,190.1333,3.1910,30.0000
IR,2,213.6167,11.7778,30.0000
PL,2,133.1500,10.7592,28.3333
RO,3,142.4667,11.5311,30.0000
NZ,2,218.3096,4.9587,30.0000
KZ,1,201.4483,13.1532,30.0000
MD,2,155.4500,8.3732,27.5000
CH,3,83.5656,11.9657,30.0000
SE,2,121.3750,12.1170,26.0000
TH,2,266.6500,21.7254,27.0000
RS,1,137.3667,3.9369,30.0000
CZ,2,117.0833,6.4060,23.0000
IT,3,119.1667,4.9246,25.3333
ZA,1,273.1333,14.9727,27.0000
AR,1,159.0000,9.1906,30.0000
MN,1,241.5000,13.0964,23.0000
ID,1,459.1667,6.6837,30.0000
EE,1,136.3667,4.1027,24.3333
PG,1,240.5667,3.6759,30.0000
VG,1,35.3400,8.1145,30.0000
